ID,Municipio,IPM Municipal
15600,RÁQUIRA,31.3
15621,RONDÓN,46.9
15632,SABOYÁ,41.8
15638,SÁCHICA,23.8
15646,SAMACÁ,21.5
15660,SAN EDUARDO,35.9
15664,SAN JOSÉ DE PARE,50.8
15667,SAN LUIS DE GACENO,31.4
15673,SAN MATEO,45.8
15676,SAN MIGUEL DE SEMA,35.6
15681,SAN PABLO DE BORBUR,53.7
15686,SANTANA,40.5
15690,SANTA MARÍA,29.0
15693,SANTA ROSA DE VITERBO,19.0
15696,SANTA SOFÍA,31.4
15720,SATIVANORTE,51.6
15723,SATIVASUR,29.7
15740,SIACHOQUE,45.1
15753,SOATÁ,17.3
15755,SOCOTÁ,52.9
15757,SOCHA,20.8
15759,SOGAMOSO,10.4
15761,SOMONDOCO,41.0
15762,SORA,55.3
15763,SOTAQUIRÁ,35.4
15764,SORACÁ,38.5
15774,SUSACÓN,37.1
15776,SUTAMARCHÁN,31.1
15778,SUTATENZA,47.4
15790,TASCO,31.4
15798,TENZA,41.1
15804,TIBANÁ,47.0
15806,TIBASOSA,14.3
15808,TINJACÁ,35.2
15810,TIPACOQUE,41.6
15814,TOCA,30.2
15816,TOGÜÍ,50.0
15820,TÓPAGA,28.7
15822,TOTA,47.9
15832,TUNUNGUÁ,42.1
15835,TURMEQUÉ,45.1
15837,TUTA,32.8
15839,TUTAZÁ,36.4
15842,ÚMBITA,49.4
15861,VENTAQUEMADA,25.7
15879,VIRACACHÁ,45.1
15897,ZETAQUIRA,50.7
17001,MANIZALES,13.9
17013,AGUADAS,30.0
17042,ANSERMA,32.5
17050,ARANZAZU,32.1
17088,BELALCÁZAR,41.2
17174,CHINCHINÁ,21.8
17272,FILADELFIA,36.2
17380,LA DORADA,26.8
17388,LA MERCED,34.5
17433,MANZANARES,37.5
17442,MARMATO,37.6
17444,MARQUETALIA,40.7
17446,MARULANDA,34.6
17486,NEIRA,31.3
17495,NORCASIA,41.4
17513,PÁCORA,33.3
17524,PALESTINA,30.1
17541,PENSILVANIA,37.3
17614,RIOSUCIO,29.3
17616,RISARALDA,39.4
17653,SALAMINA,28.7
17662,SAMANÁ,39.9
17665,SAN JOSÉ,39.9
17777,SUPÍA,31.3
17867,VICTORIA,34.9
17873,VILLAMARÍA,17.0
17877,VITERBO,26.0
18001,FLORENCIA,29.6
18029,ALBANIA,38.8
18094,BELÉN DE LOS ANDAQUÍES,50.0
18150,CARTAGENA DEL CHAIRÁ,63.3
18205,CURILLO,55.4
18247,EL DONCELLO,44.3
18256,EL PAUJÍL,45.5
18410,LA MONTAÑITA,56.2
18460,MILÁN,64.6
18479,MORELIA,42.4
18592,PUERTO RICO,54.3
18610,SAN JOSÉ DEL FRAGUA,48.7
18753,SAN VICENTE DEL CAGUÁN,56.3
18756,SOLANO,71.9
18785,SOLITA,58.1
18860,VALPARAÍSO,50.0
19001,POPAYÁN,18.4
19022,ALMAGUER,62.9
19050,ARGELIA,50.1
19075,BALBOA,47.1
19100,BOLÍVAR,51.1
19110,BUENOS AIRES,42.5
19130,CAJIBÍO,56.9
19137,CALDONO,56.0
19142,CALOTO,37.4
19212,CORINTO,33.7
19256,EL TAMBO,46.0
19290,FLORENCIA,36.3
19300,GUACHENÉ,20.2
19318,GUAPI,68.9
19355,INZÁ,59.0
19364,JAMBALÓ,46.5
19392,LA SIERRA,53.6
19397,LA VEGA,56.7
19418,LÓPEZ DE MICAY,81.2
19450,MERCADERES,46.6
19455,MIRANDA,21.6
19473,MORALES,48.7
19513,PADILLA,22.0
19517,PÁEZ,56.3
19532,PATÍA,44.1
19533,PIAMONTE,44.0
19548,PIENDAMÓ - TUNÍA,30.7
19573,PUERTO TEJADA,16.6
19585,PURACÉ,39.5
19622,ROSAS,43.2
19693,SAN SEBASTIÁN,46.4
19698,SANTANDER DE QUILICHAO,23.8
19701,SANTA ROSA,66.1
19743,SILVIA,43.8
19760,SOTARÁ PAISPAMBA,32.3
19780,SUÁREZ,44.1
19785,SUCRE,75.5
19807,TIMBÍO,35.7
19809,TIMBIQUÍ,72.4
19821,TORIBÍO,45.1
19824,TOTORÓ,55.1
19845,VILLA RICA,22.7
20001,VALLEDUPAR,30.5
20011,AGUACHICA,37.0
20013,AGUSTÍN CODAZZI,44.5
20032,ASTREA,52.8
20045,BECERRIL,48.6
20060,BOSCONIA,43.8
20175,CHIMICHAGUA,52.5
20178,CHIRIGUANÁ,41.3
20228,CURUMANÍ,45.8
20238,EL COPEY,48.2
20250,EL PASO,40.7
20295,GAMARRA,48.6
20310,GONZÁLEZ,56.6
20383,LA GLORIA,44.4
20400,LA JAGUA DE IBIRICO,32.6
20443,MANAURE BALCÓN DEL CESAR,41.2
20517,PAILITAS,46.1
20550,PELAYA,51.0
20570,PUEBLO BELLO,74.9
20614,RÍO DE ORO,48.3
20621,LA PAZ,41.7
20710,SAN ALBERTO,31.9
20750,SAN DIEGO,40.7
20770,SAN MARTÍN,41.7
20787,TAMALAMEQUE,47.5
23001,MONTERÍA,27.1
23068,AYAPEL,62.4
23079,BUENAVISTA,58.0
23090,CANALETE,68.2
23162,CERETÉ,34.4
23168,CHIMÁ,57.8
23182,CHINÚ,45.3
23189,CIÉNAGA DE ORO,52.3
23300,COTORRA,39.7
23350,LA APARTADA,52.6
23417,LORICA,41.1
23419,LOS CÓRDOBAS,60.5
23464,MOMIL,42.1
23466,MONTELÍBANO,41.1
23500,MOÑITOS,65.4
23555,PLANETA RICA,43.0
23570,PUEBLO NUEVO,52.9
23574,PUERTO ESCONDIDO,67.9
23580,PUERTO LIBERTADOR,58.9
23586,PURÍSIMA DE LA CONCEPCIÓN,53.1
23660,SAHAGÚN,40.4
23670,SAN ANDRÉS DE SOTAVENTO,76.3
23672,SAN ANTERO,46.0
23675,SAN BERNARDO DEL VIENTO,57.0
23678,SAN CARLOS,58.0
23682,SAN JOSÉ DE URÉ,61.3
23686,SAN PELAYO,45.8
23807,TIERRALTA,63.8
23815,TUCHÍN,78.0
23855,VALENCIA,53.1
25001,AGUA DE DIOS,17.9
25019,ALBÁN,25.8
25035,ANAPOIMA,22.6
25040,ANOLAIMA,22.7
25053,ARBELÁEZ,20.0
25086,BELTRÁN,38.3
25095,BITUIMA,29.3
25099,BOJACÁ,16.8
25120,CABRERA,39.5
25123,CACHIPAY,20.6
25126,CAJICÁ,6.8
25148,CAPARRAPÍ,41.2
25151,CÁQUEZA,21.7
25154,CARMEN DE CARUPA,31.2
25168,CHAGUANÍ,58.7
25175,CHÍA,6.7
25178,CHIPAQUE,31.1
25181,CHOACHÍ,22.5
25183,CHOCONTÁ,27.5
25200,COGUA,12.6
25214,COTA,9.0
25224,CUCUNUBÁ,25.0
25245,EL COLEGIO,18.3
25258,EL PEÑÓN,49.5
25260,EL ROSAL,12.8
25269,FACATATIVÁ,10.5
25279,FÓMEQUE,27.4
25281,FOSCA,45.2
25286,FUNZA,7.8
25288,FÚQUENE,23.6
25290,FUSAGASUGÁ,12.2
25293,GACHALÁ,51.5
25295,GACHANCIPÁ,11.1
25297,GACHETÁ,43.2
25299,GAMA,42.9
25307,GIRARDOT,13.4
25312,GRANADA,19.9
25317,GUACHETÁ,25.7
25320,GUADUAS,27.2
25322,GUASCA,15.5
25324,GUATAQUÍ,32.9
25326,GUATAVITA,33.1
25328,GUAYABAL DE SÍQUIMA,29.4
25335,GUAYABETAL,29.6
25339,GUTIÉRREZ,37.6
25368,JERUSALÉN,34.9
25372,JUNÍN,57.8
25377,LA CALERA,9.8
25386,LA MESA,18.3
25394,LA PALMA,39.4
25398,LA PEÑA,50.3
25402,LA VEGA,22.1
25407,LENGUAZAQUE,29.1
25426,MACHETÁ,38.2
25430,MADRID,10.4
25436,MANTA,35.5
25438,MEDINA,38.5
25473,MOSQUERA,9.6
25483,NARIÑO,27.8
25486,NEMOCÓN,14.2
25488,NILO,22.1
25489,NIMAIMA,30.2
25491,NOCAIMA,26.2
25506,VENECIA,38.1
25513,PACHO,27.7
25518,PAIME,55.0
25524,PANDI,36.7
25530,PARATEBUENO,37.4
25535,PASCA,30.6
25572,PUERTO SALGAR,31.0
25580,PULÍ,46.0
25592,QUEBRADANEGRA,32.1
25594,QUETAME,37.7
25596,QUIPILE,44.1
25599,APULO,28.4
25612,RICAURTE,17.5
25645,SAN ANTONIO DEL TEQUENDAMA,21.8
25649,SAN BERNARDO,34.8
25653,SAN CAYETANO,36.9
25658,SAN FRANCISCO,20.2
25662,SAN JUAN DE RIOSECO,35.6
25718,SASAIMA,22.9
25736,SESQUILÉ,17.7
25740,SIBATÉ,13.5
25743,SILVANIA,23.5
25745,SIMIJACA,22.4
25754,SOACHA,14.1
25758,SOPÓ,8.0
25769,SUBACHOQUE,12.6
25772,SUESCA,14.0
25777,SUPATÁ,28.2
25779,SUSA,27.1
25781,SUTATAUSA,21.3
25785,TABIO,9.6
25793,TAUSA,24.3
25797,TENA,18.5
25799,TENJO,10.4
25805,TIBACUY,27.4
25807,TIBIRITA,52.3
25815,TOCAIMA,24.4
25817,TOCANCIPÁ,10.1
25823,TOPAIPÍ,47.1
25839,UBALÁ,47.0
25841,UBAQUE,34.1
25843,VILLA DE SAN DIEGO DE UBATÉ,14.2
25845,UNE,29.6
25851,ÚTICA,35.5
25862,VERGARA,50.0
25867,VIANÍ,31.6
25871,VILLAGÓMEZ,38.2
25873,VILLAPINZÓN,31.4
25875,VILLETA,18.7
25878,VIOTÁ,36.3
25885,YACOPÍ,55.5
25898,ZIPACÓN,20.5
25899,ZIPAQUIRÁ,10.3
27001,QUIBDÓ,44.4
27006,ACANDÍ,51.4
27025,ALTO BAUDÓ,90.6
27050,ATRATO,61.5
27073,BAGADÓ,81.0
27075,BAHÍA SOLANO,46.6
27077,BAJO BAUDÓ,80.4
27099,BOJAYÁ,77.1
27135,EL CANTÓN DEL SAN PABLO,60.2
27150,CARMEN DEL DARIÉN,77.8
27160,CÉRTEGUI,55.9
27205,CONDOTO,53.2
27245,EL CARMEN DE ATRATO,54.0
27250,EL LITORAL DEL SAN JUAN,83.1
27361,ISTMINA,55.1
27372,JURADÓ,71.8
27413,LLORÓ,74.4
27425,MEDIO ATRATO,76.6
27430,MEDIO BAUDÓ,80.2
27450,MEDIO SAN JUAN,69.7
27491,NÓVITA,60.1
27495,NUQUÍ,72.9
27580,RÍO IRÓ,75.1
27600,RÍO QUITO,66.8
27615,RIOSUCIO,70.9
27660,SAN JOSÉ DEL PALMAR,59.1
27745,SIPÍ,69.7
27787,TADÓ,59.9
27800,UNGUÍA,63.4
27810,UNIÓN PANAMERICANA,57.4
41001,NEIVA,17.6
41006,ACEVEDO,51.0
41013,AGRADO,50.0
41016,AIPE,35.4
41020,ALGECIRAS,45.2
41026,ALTAMIRA,30.4
41078,BARAYA,49.4
41132,CAMPOALEGRE,31.1
41206,COLOMBIA,61.7
41244,ELÍAS,32.3
41298,GARZÓN,32.0
41306,GIGANTE,36.9
41319,GUADALUPE,43.2
41349,HOBO,38.8
41357,ÍQUIRA,49.6
41359,ISNOS,43.1
41378,LA ARGENTINA,44.0
41396,LA PLATA,42.5
41483,NÁTAGA,46.9
41503,OPORAPA,58.5
41518,PAICOL,39.1
41524,PALERMO,32.6
41530,PALESTINA,51.0
41548,PITAL,43.9
41551,PITALITO,33.7
41615,RIVERA,27.4
41660,SALADOBLANCO,57.8
41668,SAN AGUSTÍN,36.3
41676,SANTA MARÍA,51.5
41770,SUAZA,41.6
