ID,Municipio,Analfabetismo,,,Bajo logro educativo,,,Barreras a servicios para cuidado de la primera infancia,,,Barreras de acceso a servicios de salud,,,Tasa de dependencia,,,Hacinamiento crítico,,,Inadecuada eliminación de excretas,,,Inasistencia escolar,,,Material inadecuado de paredes exteriores,,,Material inadecuado de pisos,,,Rezago escolar,,,Sin acceso a fuente de agua mejorada,,,Sin aseguramiento en salud,,,Trabajo infantil,,,Trabajo informal,,
,,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso
05315,GUADALUPE,21.3,12.4,27.6,74.5,57.8,86.3,1.0,0.3,1.5,0.6,1.6,0.0,37.7,37.3,38.0,7.0,9.4,5.3,32.8,2.8,54.1,4.0,1.4,5.9,0.6,0.5,0.6,3.2,0.5,5.1,21.7,18.2,24.1,35.8,1.4,60.4,9.1,8.7,9.4,1.7,0.8,2.4,80.2,77.0,82.5
05318,GUARNE,7.2,3.6,9.8,46.3,35.2,54.1,1.6,1.2,1.8,1.6,0.8,2.1,24.4,22.7,25.7,3.6,4.2,3.1,6.5,1.0,10.3,2.1,1.2,2.7,0.3,0.2,0.4,0.8,0.0,1.3,16.7,15.3,17.6,10.3,0.3,17.4,16.3,18.1,15.1,0.8,0.3,1.2,72.6,69.6,74.7
05321,GUATAPÉ,4.5,3.3,8.0,46.3,42.9,55.4,1.1,1.3,0.5,3.0,0.9,8.9,25.8,26.1,24.7,3.2,3.9,1.4,1.2,0.4,3.3,2.3,2.5,1.7,0.1,0.0,0.5,0.1,0.0,0.3,8.7,8.3,9.7,2.7,0.2,9.7,14.8,15.1,14.2,0.7,0.7,0.8,77.8,77.5,78.4
05347,HELICONIA,19.2,13.6,23.9,77.1,62.9,89.0,1.0,0.9,1.0,6.8,5.8,7.7,32.7,30.7,34.5,4.9,6.8,3.3,26.5,7.4,42.4,2.8,1.8,3.5,0.7,0.9,0.4,0.9,0.3,1.4,18.4,15.0,21.2,8.8,1.8,14.6,13.7,15.8,12.0,1.7,0.7,2.6,80.4,77.4,83.0
05353,HISPANIA,18.9,16.3,25.1,69.8,62.8,86.5,1.6,0.8,3.3,4.1,5.1,1.6,35.1,33.0,40.0,5.3,5.9,3.9,16.3,1.7,51.0,3.8,2.2,7.6,0.1,0.0,0.4,0.3,0.0,1.0,17.5,13.9,25.9,23.8,1.0,77.6,14.6,14.5,14.7,2.0,1.3,3.7,79.1,74.8,89.2
05360,ITAGÜÍ,4.1,3.7,8.3,33.8,32.4,47.1,1.5,1.4,2.6,3.0,2.6,6.1,19.1,18.7,22.6,4.4,4.4,4.8,1.0,0.5,6.1,2.1,1.9,3.9,0.2,0.2,0.0,0.1,0.0,0.7,12.7,11.8,21.0,1.1,0.4,7.2,19.2,19.2,18.8,0.5,0.4,1.3,69.0,69.1,68.6
05361,ITUANGO,29.1,17.7,35.9,77.1,54.7,90.6,2.8,2.0,3.2,6.4,6.1,6.6,39.2,38.0,39.8,10.0,10.2,9.9,39.5,4.5,60.5,8.3,4.2,10.7,2.4,1.5,3.0,20.1,2.0,31.0,30.0,23.1,34.1,38.0,2.2,59.5,10.6,12.7,9.4,4.7,1.4,6.6,89.3,80.4,94.6
05364,JARDÍN,12.7,8.5,18.3,65.3,54.0,80.4,1.1,0.8,1.5,1.8,0.2,3.9,27.2,25.3,29.8,4.1,4.5,3.5,16.2,1.0,36.5,4.0,2.9,5.3,1.4,0.6,2.4,1.6,0.0,3.6,14.0,10.4,18.7,19.8,0.3,45.7,12.6,13.5,11.3,2.7,1.9,3.6,85.8,81.5,91.5
05368,JERICÓ,14.8,11.0,21.8,66.8,56.4,86.2,1.0,1.0,1.1,2.3,2.4,2.0,30.2,30.8,29.1,4.1,4.8,2.9,6.3,1.2,16.0,2.6,1.4,4.8,0.5,0.4,0.7,0.2,0.1,0.3,11.2,8.6,16.0,14.1,0.8,38.8,14.1,14.9,12.5,1.2,0.5,2.5,80.0,78.9,82.1
05376,LA CEJA,5.7,5.1,9.7,42.9,40.2,61.2,1.4,1.3,1.6,2.1,2.3,0.8,18.2,18.2,18.1,4.2,4.4,2.3,1.7,0.4,10.1,2.4,2.2,3.9,0.1,0.1,0.2,0.1,0.0,0.5,14.3,13.3,21.4,5.9,0.2,44.9,13.8,14.0,12.1,0.8,0.6,1.8,65.3,64.5,70.3
