,,Privaciones Municipios,,,,,,,,,,,,,,
ID,Municipio,Analfabetismo,Bajo logro educativo,Barreras a servicios para cuidado de la primera infancia,Barreras de acceso a servicios de salud,Tasa de dependencia,Hacinamiento crítico,Inadecuada eliminación de excretas,Inasistencia escolar,Material inadecuado de paredes exteriores,Material inadecuado de pisos,Rezago escolar,Sin acceso a fuente de agua mejorada,Sin aseguramiento en salud,Trabajo infantil,Trabajo informal
05670,SAN ROQUE,16.2,71.4,1.6,6.0,35.2,5.9,34.1,5.4,0.9,5.7,19.9,30.3,11.8,3.1,87.8
05674,SAN VICENTE FERRER,13.2,70.8,1.2,3.3,29.7,5.0,19.7,3.5,0.4,3.1,15.1,13.9,11.0,2.4,85.7
05679,SANTA BÁRBARA,15.0,69.6,1.2,5.4,27.5,4.5,9.7,3.0,0.3,1.3,15.5,13.0,12.2,1.5,81.8
05686,SANTA ROSA DE OSOS,9.1,61.9,2.3,1.0,31.6,5.7,27.9,5.1,0.1,1.4,22.1,26.3,14.9,2.1,77.9
05690,SANTO DOMINGO,16.0,71.5,1.5,3.4,37.7,5.1,34.8,3.5,0.6,2.1,20.7,45.2,10.3,2.4,85.4
05697,EL SANTUARIO,9.3,63.7,2.0,0.7,31.7,7.2,2.1,5.6,0.1,0.3,18.3,5.9,13.8,2.4,82.9
05736,SEGOVIA,16.0,66.6,3.1,4.5,32.7,13.2,44.1,10.1,9.7,7.3,21.5,23.4,16.0,2.7,78.9
05756,SONSÓN,15.9,71.2,1.8,3.5,31.2,5.1,24.8,5.0,0.6,1.8,22.8,32.0,13.5,3.2,85.9
05761,SOPETRÁN,11.8,65.4,1.3,2.7,27.3,7.1,20.4,2.7,0.7,8.1,14.6,9.2,15.2,1.3,82.3
05789,TÁMESIS,16.3,70.9,1.0,5.9,37.2,4.2,23.2,4.1,0.5,0.7,16.7,16.5,14.8,1.0,82.9
05790,TARAZÁ,26.3,77.0,3.0,2.0,40.2,14.4,28.5,10.8,11.4,15.2,32.2,18.7,11.2,4.5,91.8
05792,TARSO,25.2,74.0,1.6,2.6,33.4,7.6,14.8,3.1,1.4,1.0,23.1,35.3,13.9,0.8,75.5
05809,TITIRIBÍ,19.1,75.2,1.3,1.0,31.9,3.8,8.1,4.8,0.1,1.4,16.6,15.0,11.6,1.0,74.3
05819,TOLEDO,19.1,71.8,2.1,20.8,47.1,11.1,32.2,3.9,0.9,6.7,24.5,25.8,10.9,1.9,86.2
05837,TURBO,17.3,58.1,3.7,5.4,49.2,12.7,45.4,7.5,10.8,22.5,24.6,36.8,16.8,2.0,87.6
05842,URAMITA,24.9,78.2,2.6,2.7,38.8,9.1,56.0,5.0,1.7,13.2,20.3,42.6,15.2,3.4,92.2
05847,URRAO,23.7,74.3,2.9,7.2,31.4,9.3,29.5,7.0,4.2,3.9,23.5,27.8,13.5,4.0,89.4
05854,VALDIVIA,24.8,80.7,2.5,3.9,44.3,7.3,49.3,10.3,4.0,9.5,26.8,45.9,10.4,3.6,91.5
05856,VALPARAÍSO,17.7,68.6,0.6,2.7,29.2,4.4,9.0,2.4,0.8,1.6,14.2,11.8,11.9,0.9,76.6
05858,VEGACHÍ,20.6,73.5,1.5,3.9,38.8,9.1,20.4,5.2,2.3,8.6,20.9,16.5,11.8,2.2,85.0
05861,VENECIA,19.7,70.1,0.9,3.3,24.4,3.4,6.5,3.3,0.3,0.9,17.8,7.8,15.2,1.1,73.5
05873,VIGÍA DEL FUERTE,25.1,69.0,7.6,7.4,64.4,12.0,81.6,8.7,39.6,1.9,37.9,89.3,18.4,2.1,93.6
05885,YALÍ,23.6,78.7,1.3,2.9,31.3,6.1,34.1,5.2,1.8,16.1,21.3,29.7,9.1,3.3,87.1
05887,YARUMAL,14.5,61.6,2.6,3.4,38.1,6.6,18.7,4.6,0.5,1.1,19.1,15.9,13.4,2.4,84.3
05890,YOLOMBÓ,16.6,76.7,1.4,3.3,33.2,6.5,47.8,5.2,0.6,6.5,17.3,42.5,12.2,2.4,87.7
05893,YONDÓ,18.1,63.8,3.6,5.0,46.6,11.9,19.2,7.6,17.3,19.0,25.1,11.4,23.1,2.0,81.9
05895,ZARAGOZA,24.4,72.6,3.9,4.7,49.2,15.0,42.2,7.5,14.3,33.7,29.9,30.5,13.6,2.5,91.1
08001,BARRANQUILLA,5.2,29.0,2.4,3.0,29.7,13.5,2.1,5.0,1.5,1.4,16.1,1.0,20.1,0.6,84.6
08078,BARANOA,11.2,42.8,2.0,5.3,41.0,19.3,48.4,3.5,4.3,5.4,16.5,8.9,21.5,0.5,87.6
08137,CAMPO DE LA CRUZ,26.2,68.3,3.0,0.4,66.8,25.7,85.0,8.8,1.5,8.3,24.1,14.6,17.4,0.6,95.3
08141,CANDELARIA,34.9,71.1,2.3,2.6,55.6,27.9,23.6,10.1,0.8,4.8,17.6,10.9,13.0,1.0,94.0
